world,regime,policy,delivered_gbit,completion_rate,weighted_met,n_met,n_partial,n_rejected,fairness,wall_s,n_quotes,optimal
0,C-severe,oracle/priority,411.9550719636033,0.5714285714285714,0.5,4,3,0,0.9242719148515562,0.009292000002460554,0,True
1,0-trivial,fcfs,104.12256446428276,1.0,1.0,13,0,0,1.0,0.002233100007288158,13,
1,0-trivial,edf,104.12256446428273,1.0,1.0,13,0,0,1.0,0.0027575999847613275,13,
1,0-trivial,tier-deadline,104.12256446428273,1.0,1.0,13,0,0,1.0,0.001568900013808161,13,
1,0-trivial,deadline-tier,104.12256446428273,1.0,1.0,13,0,0,1.0,0.001434299978427589,13,
1,0-trivial,density,104.12256446428273,1.0,1.0,13,0,0,1.0,0.0012602999922819436,13,
1,0-trivial,slack,104.12256446428273,1.0,1.0,13,0,0,1.0,0.011436100001446903,91,
1,0-trivial,oppcost,104.12256446428276,1.0,1.0,13,0,0,1.0,0.02291470000636764,182,
1,0-trivial,ratio,104.12256446428275,1.0,1.0,13,0,0,1.0,0.02291739999782294,91,
1,0-trivial,w_avail,104.12256446428275,1.0,1.0,13,0,0,1.0,0.02014979999512434,91,
1,0-trivial,oracle/throughput,104.12256446428276,1.0,1.0,13,0,0,1.0,0.004074600001331419,0,True
1,0-trivial,oracle/priority,104.12256446428276,1.0,1.0,13,0,0,1.0,0.008161200006725267,0,True
1,A-slack,fcfs,236.667132762076,0.6363636363636364,0.5714285714285714,7,4,0,0.9191221333208289,0.001057399989804253,11,
1,A-slack,edf,239.33709147271435,0.7272727272727273,0.8095238095238095,8,2,1,0.9072305381894646,0.0016500999918207526,11,
1,A-slack,tier-deadline,239.33709147271438,0.7272727272727273,0.8571428571428571,8,2,1,0.9072323580280474,0.001334800006588921,11,
1,A-slack,deadline-tier,239.33709147271435,0.7272727272727273,0.8095238095238095,8,2,1,0.9072305381894646,0.001102500013075769,11,
1,A-slack,density,237.2631058573873,0.7272727272727273,0.8571428571428571,8,2,1,0.9066066945437267,0.0022258000099100173,11,
1,A-slack,slack,237.3277477494018,0.7272727272727273,0.8095238095238095,8,3,0,0.9420305842233065,0.008087299996986985,66,
1,A-slack,oppcost,235.99027913307592,0.7272727272727273,0.8571428571428571,8,3,0,0.9174082509231961,0.016306100005749613,117,
1,A-slack,ratio,237.6767490103293,0.7272727272727273,0.8571428571428571,8,3,0,0.9254456604800705,0.015625800006091595,66,
1,A-slack,w_avail,237.6767490103293,0.7272727272727273,0.8571428571428571,8,3,0,0.9254456604800705,0.017068800021661445,66,
1,A-slack,oracle/throughput,239.41513330771318,0.36363636363636365,0.38095238095238093,4,7,0,0.9655704966835968,0.0027279000205453485,0,True
1,A-slack,oracle/priority,217.5234608103798,0.7272727272727273,0.8571428571428571,8,2,1,0.8605792459715671,0.01897330000065267,0,True
1,B-real,fcfs,297.1039104618749,0.5454545454545454,0.5238095238095238,6,3,2,0.7420608272552309,0.0016497999895364046,11,
1,B-real,edf,298.07405398282884,0.6363636363636364,0.7619047619047619,7,2,2,0.7395733342595008,0.0010177000076510012,11,
1,B-real,tier-deadline,298.07405398282884,0.6363636363636364,0.7619047619047619,7,2,2,0.7395733342595008,0.0014081999834161252,11,
1,B-real,deadline-tier,298.07405398282884,0.6363636363636364,0.7619047619047619,7,2,2,0.7395733342595008,0.0010168000007979572,11,
1,B-real,density,298.07405398282884,0.6363636363636364,0.7619047619047619,7,2,2,0.7395733342595008,0.0008875999774318188,11,
1,B-real,slack,296.5468539435241,0.6363636363636364,0.7619047619047619,7,3,1,0.7420009081946561,0.007202999986475334,66,
1,B-real,oppcost,296.5468539435241,0.6363636363636364,0.7619047619047619,7,3,1,0.7420009081946561,0.012455200019758195,105,
1,B-real,ratio,296.5468539435241,0.6363636363636364,0.7619047619047619,7,3,1,0.7420009081946561,0.012883799994597211,66,
1,B-real,w_avail,296.5468539435241,0.6363636363636364,0.7619047619047619,7,3,1,0.7420009081946561,0.010593799990601838,66,
1,B-real,oracle/throughput,298.540110672353,0.36363636363636365,0.38095238095238093,4,5,2,0.7616531590247612,0.00449370002024807,0,True
1,B-real,oracle/priority,296.21187085005994,0.6363636363636364,0.7619047619047619,7,3,1,0.7107690565174467,0.030024399980902672,0,True
1,C-severe,fcfs,341.56436375238263,0.45454545454545453,0.47619047619047616,5,4,2,0.7430850331854207,0.0009199000196531415,11,
1,C-severe,edf,341.0073072340318,0.45454545454545453,0.6190476190476191,5,4,2,0.725185595636704,0.002147999999579042,11,
1,C-severe,tier-deadline,341.0073072340318,0.45454545454545453,0.6190476190476191,5,4,2,0.7251855956367043,0.0009119000169448555,11,
1,C-severe,deadline-tier,341.0073072340318,0.45454545454545453,0.6190476190476191,5,4,2,0.725185595636704,0.0013141999952495098,11,
1,C-severe,density,341.0073072340318,0.45454545454545453,0.6190476190476191,5,4,2,0.7251855956367043,0.0009526000067126006,11,
1,C-severe,slack,342.24667013297585,0.5454545454545454,0.6666666666666666,6,3,2,0.7082628614918112,0.008694999996805564,66,
1,C-severe,oppcost,342.24667013297585,0.5454545454545454,0.7142857142857143,6,3,2,0.7082628614918111,0.011111300002085045,96,
1,C-severe,ratio,342.24667013297585,0.5454545454545454,0.7142857142857143,6,3,2,0.7082628614918111,0.009263099986128509,66,
1,C-severe,w_avail,342.24667013297585,0.5454545454545454,0.7142857142857143,6,3,2,0.7082628614918111,0.010676899983081967,66,
